"YEAR","MONTH","UNIQUE_CARRIER","CARRIER","SDOM_GALLONS","NDOM_GALLONS","TDOMT_GALLONS","SDOM_COST","TS_COST","NDOM_COST","TDOMT_COST","TOTAL_COST"
2007,3,"F2","F2",0,0,0,0,0,0,0,198602
2007,3,"F9","F9",16390739,5083,16395822,31198627,31198627,9989,31208616,31208616
2007,3,"FL","FL",30026297,0,30026297,55641530,55693382,0,55641530,55693382
2007,3,"FX","FX",70168713,1463972,71632685,127908000,187069000,2692000,130600000,191819000
2007,3,"G4","G4",5161114,987082,6148196,10773747,10773747,1474706,12248453,12641605
2007,3,"G7","G7",1497978,0,1497978,2964421,2964421,0,2964421,2964421
2007,3,"GFQ","GFQ",0,454261,454261,0,0,978529,978529,999847
2007,3,"GL","GL",0,462144,462144,0,0,1009785,1009785,2885708
2007,3,"GR","GR",0,69839,69839,0,0,146110,146110,12027043
2007,3,"HA","HA",9801317,187682,9988999,18361089,19759439,353231,18714320,20112670
2007,3,"HP","HP",35647164,50072,35697236,65614870,68802143,107527,65722397,68949642
2007,3,"JW","JW",0,0,0,0,8116434,0,0,8116434
2007,3,"KAQ","KAQ",0,3207866,3207866,0,1369303,6206082,6206082,20080793
2007,3,"KR","KR",0,2456884,2456884,0,0,2385634,2385634,2385634
2007,3,"L2","L2",0,67795,398459,0,309736,89301,1022880,1990947
2007,3,"M6","M6",0,8030,8030,0,4021503,17402,17402,4215385
2007,3,"MG","MG",0,1804327,1804327,0,0,3936411,3936411,7254146
2007,3,"MQ","MQ",22216546,0,22216546,44556799,45476607,0,44556799,45476607
2007,3,"MY","MY",0,0,0,0,1710302,0,0,2044854
2007,3,NA,NA,0,48212,48212,0,1315935,96424,96424,5544402
2007,3,"NC","NC",0,32911,439541,0,973426,84019,1078043,1078043
2007,3,"NK","NK",7239430,0,7239430,14312834,19318665,0,14312834,19318665
2007,3,"NW","NW",79077570,106327,79183897,137340501,235503486,202022,137542523,235705508
2007,3,"OH","OH",12330952,305786,12636738,23711579,23749682,588005,24299584,24337687
2007,3,"OO","OO",23476824,0,23476824,48885994,48885994,0,48885994,48885994
2007,3,"OW","OW",282819,0,282819,600461,2729366,0,600461,2729366
2007,3,"PCQ","PCQ",0,303156,303156,0,0,874004,874004,1190581
2007,3,"PO","PO",646179,193768,839947,1350148,17556196,432951,1783099,20803560
2007,3,"PRQ","PRQ",0,144210,144210,0,320159,269350,269350,2404685
2007,3,"QX","QX",5087849,52019,5139868,10445537,10567020,106738,10552275,10673758
2007,3,"RD","RD",0,-3998,-3998,0,0,-9670,-9670,56226
2007,3,"RW","RW",4570635,0,4570635,8318468,8318468,0,8318468,8318468
2007,3,"S5","S5",5882040,0,5882040,11372599,11461669,0,11372599,11461669
2007,3,"SY","SY",3325210,25955,3351165,6905005,9524528,59900,6964905,9605348
2007,3,"TZ","TZ",5156640,847227,6003867,9733361,10299636,1524120,11257481,17525160
2007,3,"U5","U5",3502898,38277,3541175,7282865,17282758,86814,7369679,18949933
2007,3,"U7","U7",0,733544,733544,0,0,1356856,1356856,1384348
2007,3,"UA","UA",110332183,247521,110579704,205385103,359786205,455651,205840754,360511468
2007,3,"US","US",50213372,7503,50220875,92562577,120733728,14364,92576941,120748092
2007,3,"WE","WE",0,0,0,0,0,0,0,2312236
2007,3,"WN","WN",123515362,0,123515362,191489798,191489798,0,191489798,191489798
2007,3,"WO","WO",0,76731,76731,0,0,146749,146749,10291278
2007,3,"X9","X9",0,603103,603103,0,0,919855,919855,9268122
2007,3,"XE","XE",22962456,0,22962456,15155221,16775372,0,15155221,16775372
2007,3,"XJ","XJ",1529463,0,1529463,1277102,1277102,0,1277102,1277102
2007,3,"XP","XP",0,427130,427130,0,0,1168250,1168250,1331978
2007,3,"YV","YV",13749828,0,13749828,29568909,29568909,0,29568909,29568909
2007,3,"YX","YX",8694324,239151,8933475,16496349,16496349,453307,16949656,16949656
2007,3,"ZW","ZW",6975613,0,6975613,14089169,14089169,0,14089169,14089169
2007,4,"16","16",5312769,0,5312769,11188931,11188931,0,11188931,11188931
2007,4,"3Z","3Z",0,0,264548,0,814914,0,941982,941982
2007,4,"5X","5X",0,33318000,33318000,0,45414000,69808000,69808000,115222000
2007,4,"5Y","5Y",599806,2869788,3469594,1363509,8403129,6500537,7864046,69119667
2007,4,"8C","8C",0,3368553,3368553,0,0,7431013,7431013,10400667
2007,4,"9S","9S",0,0,0,0,0,0,0,358583
2007,4,"AA","AA",150731754,129998,150861752,297529372,459695840,257625,297786997,460025386
2007,4,"ABX","ABX",8820847,1222576,10043423,18502987,18502987,2171277,20674264,20674264
2007,4,"AJQ","AJQ",0,96352,96352,0,0,238616,238616,238616
2007,4,"AQ","AQ",4095954,0,4095954,8381817,8381817,0,8381817,8381817
2007,4,"AS","AS",25478887,0,27070367,50312275,56972539,0,53431276,56972539
2007,4,"AX","AX",4056479,0,4056479,9088831,9088831,0,9088831,9088831
2007,4,"B6","B6",37122494,0,37122494,73665481,73665481,0,73665481,73665481
2007,4,"CO","CO",68008000,102000,68110000,130372000,235319000,202000,130574000,235537000
2007,4,"CS","CS",0,0,0,0,8621000,0,0,8621000
2007,4,"DL","DL",96257522,306832,96564354,194352609,313146978,619521,194972130,313778715
2007,4,"E0","E0",0,0,0,0,1633486,0,0,1633486
2007,4,"E9","E9",77800,55893,133693,202123,202123,145209,347332,347332
2007,4,"ER","ER",0,40593,40593,0,0,103245,103245,532201
2007,4,"EV","EV",15183423,0,15183423,35768394,35768394,0,35768394,35768394
2007,4,"EZ","EZ",0,0,0,0,0,0,0,17418508
2007,4,"F9","F9",16121362,5685,16127047,32900010,32900010,12150,32912160,32912160
2007,4,"FL","FL",29542353,0,29542353,59599916,59656191,0,59599916,59656191
2007,4,"FX","FX",63178329,1487964,64666293,125102000,182249000,2979000,128081000,187115000
2007,4,"G4","G4",4747831,590267,5338098,10705914,10705914,1353954,12059868,12250633
2007,4,"G7","G7",1535300,0,1535300,3655017,3655017,0,3655017,3655017
2007,4,"GFQ","GFQ",0,392082,392082,0,0,979709,979709,1001048
2007,4,"GL","GL",0,462897,462897,0,0,1106324,1106324,2904636
2007,4,"GR","GR",0,66209,66209,0,0,160219,160219,11678923
2007,4,"HA","HA",9717529,159144,9876673,19505938,20777603,323323,19829261,21100926
2007,4,"HP","HP",34417096,71873,34488969,69398357,72454896,155578,69553935,72637270
2007,4,"JW","JW",0,0,0,0,8116434,0,0,8116434
2007,4,"KAQ","KAQ",0,3686020,3686020,0,957511,7640256,7640256,21268044
2007,4,"KR","KR",1461105,0,1461105,3189968,3189968,0,3189968,3189968
2007,4,"L2","L2",0,0,401463,0,234719,0,1229249,2119515
2007,4,"M6","M6",0,20522,20522,0,3597209,48662,48662,3735701
2007,4,"MG","MG",0,1457953,1457953,0,0,3367258,3367258,5815708
2007,4,"MQ","MQ",22934334,0,22934334,48140980,49129653,0,48140980,49129653
